,tanggal,kelurahan,avg_ketinggian,jumlah_terdampak_jiwa
574,2020-02,PISANGAN TIMUR,75.0,0
575,2020-02,PLUIT,45.0,0
576,2020-02,PONDOK BAMBU,45.0,130
577,2020-02,PONDOK KELAPA,55.0,2132
578,2020-02,PONDOK KOPI,35.0,0
579,2020-02,PONDOK LABU,20.0,0
580,2020-02,PONDOK PINANG,35.0,0
581,2020-02,PULO,15.0,0
582,2020-02,PULO GEBANG,50.0,0
583,2020-02,PULOGADUNG,55.0,0
584,2020-02,RAGUNAN,37.5,0
585,2020-02,RAMBUTAN,35.0,2286
586,2020-02,RAWA BADAK SELATAN,20.0,0
587,2020-02,RAWA BUAYA,30.0,0
588,2020-02,RAWA BUNGA,40.0,0
589,2020-02,RAWA TERATE,140.0,2564
590,2020-02,RAWAJATI,10.0,282
591,2020-02,RAWAMANGUN,30.0,0
592,2020-02,RAWASARI,25.0,0
593,2020-02,ROROTAN,57.5,1150
594,2020-02,SEMANAN,35.0,0
595,2020-02,SEMPER BARAT,25.0,648
596,2020-02,SEMPER TIMUR,22.5,200
597,2020-02,SERDANG,30.0,0
598,2020-02,SETU,30.0,0
599,2020-02,SRENGSENG,17.5,0
600,2020-02,SUKABUMI SELATAN,45.0,0
601,2020-02,SUKAPURA,55.0,566
602,2020-02,SUMUR BATU,30.0,0
603,2020-02,SUNTER JAYA,20.0,0
